regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,0,0,sim_study1_near_sub67,599,351.15785069349204,169.28659596920576
lazy_50,0,0,sim_study1_near_sub4,196,916.4582765423704,3303.4610655394945
lazy_50,0,0,sim_study2_near_sub1,120,390.85409318038745,0.008070185206209612
lazy_50,0,0,sim_study1_near_sub5,167,457.7517688414954,2580.3496834050234
lazy_50,0,0,sim_study1_near_sub66,205,291.03735369624883,680.6573656225765
lazy_50,0,0,sim_study1_near_sub72,343,624.7366918110388,1138.1287432806284
lazy_50,0,0,sim_study2_near_sub38,119,0.0,5697.416197359299
lazy_50,0,0,sim_study2_near_sub12,149,261.3320476990571,1539.5981922957126
lazy_50,0,0,sim_study1_near_sub70,160,155.87609808090014,3572.1366278559008
lazy_50,0,0,sim_study1_near_sub58,230,1182.8908600089098,5141.199529759877
lazy_50,0,0,sim_study1_near_sub7,187,165.55325663622534,1276.2726902786876
lazy_50,0,0,sim_study2_near_sub2,145,543.2286878875516,1051.8144146099482
lazy_50,0,0,sim_study1_near_sub6,198,426.80240930134164,1083.5994095022331
lazy_50,0,0,sim_study1_near_sub59,142,218.40362670652019,851.6147678954991
lazy_50,0,0,sim_study1_near_sub71,114,490.4445684236922,0.21398385700304054
lazy_50,0,0,sim_study2_near_sub75,215,67.23206635952796,1202.064714626901
lazy_50,0,0,sim_study2_near_sub61,126,765.6040636425637,2062.963575161753
lazy_50,0,0,sim_study2_near_sub63,126,603.7588967191728,4013.2857147489717
lazy_50,0,0,sim_study1_near_sub29,128,311.9462263963536,2558.048185440765
lazy_50,0,0,sim_study1_near_sub15,318,478.54417586683485,1576.9714314127264
lazy_50,0,0,sim_study1_near_sub14,296,181.32024562408174,489.63556407423346
lazy_50,0,0,sim_study1_near_sub28,478,158.9277539341144,135.67302251487018
lazy_50,0,0,sim_study2_near_sub72,463,533.1699851160176,585.0078655599165
lazy_50,0,0,sim_study2_near_sub66,421,0.0,931.4722116471862
lazy_50,0,0,sim_study1_near_sub10,104,21.281862207149402,0.5578327291350433
lazy_50,0,0,sim_study1_near_sub38,222,1093.374497267569,5295.01714087617
lazy_50,0,0,sim_study1_near_sub39,226,391.7943227233159,1133.4538741722056
lazy_50,0,0,sim_study2_near_sub73,288,755.0359799252738,2696.4299918570614
lazy_50,0,0,sim_study2_near_sub65,270,0.0,1152.9754207057822
lazy_50,0,0,sim_study2_near_sub71,279,662.3003340743378,1022.1949002163253
lazy_50,0,0,sim_study2_near_sub59,141,1161.8869171967808,1651.1791055789122
lazy_50,0,0,sim_study2_near_sub58,139,0.0,2655.4055420156815
lazy_50,0,0,sim_study2_near_sub70,219,544.3030578551759,1473.7303529156957
lazy_50,0,0,sim_study2_near_sub64,363,67.41760411803958,1543.680659162727
lazy_50,0,8,sim_study2_near_sub41,5467,555.6200757135884,94.40823557395461
lazy_50,0,8,sim_study1_near_sub23,5194,1182.3906096326164,4925.602558772194
lazy_50,0,8,sim_study1_near_sub37,5105,355.32916511823714,2171.821642542592
lazy_50,0,8,sim_study1_near_sub36,5469,125.98818896055005,525.5322393694231
lazy_50,0,8,sim_study2_near_sub68,5553,412.52147969618807,1388.799956738697
lazy_50,0,8,sim_study2_near_sub42,5297,0.0,2427.7054442486606
lazy_50,0,8,sim_study1_near_sub34,5529,788.4875851785989,1310.728454134427
lazy_50,0,8,sim_study1_near_sub21,5491,785.1483501102413,3938.0781560154905
lazy_50,0,8,sim_study1_near_sub35,5446,451.30147847131985,437.9239095325515
lazy_50,0,8,sim_study2_near_sub43,5230,587.7887717672984,208.64696026384092
lazy_50,0,8,sim_study2_near_sub57,5552,918.344996700687,1997.5430815532766
